PIX	1GPU	2GPU	CPU	GPU_Speedup	CPU_Speedup	2GPU_ST_Ratio	2GPU_Norm_Ratio
4096	4.66	3.92	577.58	1.19	147.5	1046.03	0.47
16384	20.41	12.93	2320	1.58	179.48	1267.47	0.57
65536	71.59	39.09	9308	1.83	238.1	1676.46	0.75
147456	147.6	75.08	20665	1.97	275.23	1963.89	0.88
262144	250.39	127.8	36410	1.96	284.9	2051.25	0.92
409600	384.18	193.84	57541	1.98	296.84	2113.05	0.95
589824	543.82	273.85	82001	1.99	299.44	2153.83	0.96
802816	731.51	368.15	112068	1.99	304.41	2180.67	0.98
1048576	954.45	479.68	146436	1.99	305.28	2185.98	0.98
1327104	1209.69	607.45	185533	1.99	305.43	2184.7	0.98
1638400	1479.96	746.07	231515	1.98	310.31	2196.04	0.98
1982464	1789.59	899.33	282124	1.99	313.71	2204.39	0.99
2359296	2105.61	1055.63	336126	1.99	318.41	2234.96	1
2768896	2466.66	1241.24	397827	1.99	320.51	2230.75	1
3211264	2942.96	1475.35	465097	1.99	315.25	2176.61	0.97
3686400	3313.71	1656.06	538324	2.00	325.06	2226.01	1
4194304	3802.69	1905.53	611709	2.00	321.02	2201.12	0.99
4734976	4275.25	2143.01	697619	1.99	325.53	2209.5	0.99
5308416	4841.71	2416.12	782171	2.00	323.73	2197.08	0.98
5914624	5368.35	2697.89	875287	1.99	324.43	2192.31	0.98
6553600	5954.18	2982.00	971202	2.00	325.69	2197.72	0.98
7225344	6565.11	3287.00	1076056	2.00	327.37	2198.16	0.98
